customer_id,survey_date,csat_score,nps_score
CUST-0001,2026-06-24,3,-16
CUST-0004,2026-07-25,1,-40
CUST-0007,2026-06-24,1,-71
CUST-0009,2026-07-11,2,-91
CUST-0011,2026-08-06,1,-75
CUST-0013,2026-06-27,4,27
CUST-0014,2026-07-11,4,40
CUST-0015,2026-06-27,2,-88
CUST-0016,2026-06-26,2,-63
CUST-0017,2026-07-12,3,9
CUST-0020,2026-06-12,3,-15
CUST-0021,2026-08-06,5,69
CUST-0024,2026-07-28,2,-51
CUST-0027,2026-06-24,2,-11
CUST-0028,2026-07-03,5,48
CUST-0030,2026-07-18,2,25
CUST-0031,2026-08-09,3,5
CUST-0032,2026-07-13,3,23
CUST-0033,2026-07-15,4,-11
CUST-0034,2026-06-18,2,-85
CUST-0035,2026-06-18,2,-57
CUST-0036,2026-06-14,1,-99
CUST-0038,2026-07-17,2,5
CUST-0040,2026-06-23,3,7
