customer_id,ground_truth_risk
CUST-0001,medium
CUST-0002,high
CUST-0003,low
CUST-0004,high
CUST-0005,medium
CUST-0006,medium
CUST-0007,high
CUST-0008,medium
CUST-0009,high
CUST-0010,medium
CUST-0011,high
CUST-0012,high
CUST-0013,medium
CUST-0014,low
CUST-0015,high
CUST-0016,high
CUST-0017,medium
CUST-0018,low
CUST-0019,medium
CUST-0020,medium
CUST-0021,low
CUST-0022,high
CUST-0023,low
CUST-0024,high
CUST-0025,high
CUST-0026,high
CUST-0027,medium
CUST-0028,low
CUST-0029,high
CUST-0030,medium
CUST-0031,medium
CUST-0032,medium
CUST-0033,medium
CUST-0034,high
CUST-0035,high
CUST-0036,high
CUST-0037,low
CUST-0038,medium
CUST-0039,medium
CUST-0040,medium
